"cnae_fiscal","descricao"
"2822402","Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios"
"1042200","Fabricação de óleos vegetais refinados, exceto óleo de milho"
"6612603","Corretoras de câmbio"
"4520004","Serviços de alinhamento e balanceamento de veículos automotores"
"0321399","Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente"
"0133401","Cultivo de açaí"
"1351100","Fabricação de artefatos têxteis para uso doméstico"
"8430200","Seguridade social obrigatória"
"4753900","Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo"
"4321500","Instalação e manutenção elétrica"
"2521700","Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central"
"1353700","Fabricação de artefatos de cordoaria"
"4686902","Comércio atacadista de embalagens"
"0152102","Criação de eqüinos"
"4649402","Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico"
"6611802","Bolsa de mercadorias"
"2424501","Produção de arames de aço"
"0810001","Extração de ardósia e beneficiamento associado"
"8640211","Serviços de radioterapia"
"2680900","Fabricação de mídias virgens, magnéticas e ópticas"
"6319400","Portais, provedores de conteúdo e outros serviços de informação na internet"
"0321302","Criação de camarões em água salgada e salobra"
"6435202","Associações de poupança e empréstimo"
"0230600","Atividades de apoio à produção florestal"
"2539000","Serviços de usinagem, solda, tratamento e revestimento em metais"
"5620102","Serviços de alimentação para eventos e recepções - bufê"
"0111301","Cultivo de arroz"
"4636202","Comércio atacadista de cigarros, cigarrilhas e charutos"
"4743100","Comércio varejista de vidros"
"1749400","Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente"
"4399103","Obras de alvenaria"
"4721104","Comércio varejista de doces, balas, bombons e semelhantes"
"4754702","Comércio varejista de artigos de colchoaria"
"5829800","Edição integrada à impressão de cadastros, listas e de outros produtos gráficos"
"6010100","Atividades de rádio"
"3312104","Manutenção e reparação de equipamentos e instrumentos ópticos"
"1412603","Facção de peças do vestuário, exceto roupas íntimas"
"4923001","Serviço de táxi"
"8533300","Educação superior - pós-graduação e extensão"
"4744099","Comércio varejista de materiais de construção em geral"
"4634699","Comércio atacadista de carnes e derivados de outros animais"
"0220903","Coleta de castanha-do-pará em florestas nativas"
"4755502","Comercio varejista de artigos de armarinho"
"4322301","Instalações hidráulicas, sanitárias e de gás"
"0810099","Extração e britamento de pedras e outros materiais para construção e beneficiamento associado"
"6911701","Serviços advocatícios"
"1313800","Fiação de fibras artificiais e sintéticas"
"9603302","Serviços de cremação"
"5510802","Apart-hotéis"
"1051100","Preparação do leite"
"7719599","Locação de outros meios de transporte não especificados anteriormente, sem condutor"
"2392300","Fabricação de cal e gesso"
"5223100","Estacionamento de veículos"
"5099899","Outros transportes aquaviários não especificados anteriormente"
"0729404","Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente"
"4686901","Comércio atacadista de papel e papelão em bruto"
"4789003","Comércio varejista de objetos de arte"
"5310501","Atividades do Correio Nacional"
"4681802","Comércio atacadista de combustíveis realizado por transportador retalhista (T.R.R.)"
"4754701","Comércio varejista de móveis"
"0139306","Cultivo de seringueira"
"9601702","Tinturarias"
"0152101","Criação de bufalinos"
"4618403","Representantes comerciais e agentes do comércio de jornais, revistas e outras publicações"
"9529103","Reparação de relógios"
"4541204","Comércio a varejo de motocicletas e motonetas usadas"
"8020001","Atividades de monitoramento de sistemas de segurança eletrônico"
"1931400","Fabricação de álcool"
"7312200","Agenciamento de espaços para publicidade, exceto em veículos de comunicação"
"0133411","Cultivo de pêssego"
"4319300","Serviços de preparação do terreno não especificados anteriormente"
"3012100","Construção de embarcações para esporte e lazer"
"5250801","Comissaria de despachos"
"2930101","Fabricação de cabines, carrocerias e reboques para caminhões"
"9601701","Lavanderias"
"0112199","Cultivo de outras fibras de lavoura temporária não especificadas anteriormente"
"6435201","Sociedades de crédito imobiliário"
"1411801","Confecção de roupas íntimas"
"0600003","Extração e beneficiamento de areias betuminosas"
"4645101","Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios"
"3092000","Fabricação de bicicletas e triciclos não-motorizados, peças e acessórios"
"0152103","Criação de asininos e muares"
"9003500","Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas"
"2031200","Fabricação de resinas termoplásticas"
"3104700","Fabricação de colchões"
"0170900","Caça e serviços relacionados"
"3250707","Fabricação de artigos ópticos"
"4742300","Comércio varejista de material elétrico"
"8421300","Relações exteriores"
"4637199","Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente"
"4924800","Transporte escolar"
"3314711","Manutenção e reparação de máquinas e equipamentos para agricultura e pecuária"
"5211701","Armazéns gerais - emissão de warrant"
"0722701","Extração de minério de estanho"
"4922103","Transporte rodoviário coletivo de passageiros, com itinerário fixo, internacional"
"2411300","Produção de ferro-gusa"
"2212900","Reforma de pneumáticos usados"
"1066000","Fabricação de alimentos para animais"
"0119907","Cultivo de melão"
"8129000","Atividades de limpeza não especificadas anteriormente"
"8599699","Outras atividades de ensino não especificadas anteriormente"
"1093702","Fabricação de frutas cristalizadas, balas e semelhantes"
"4612500","Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos"
"4618401","Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria"
"4633802","Comércio atacadista de aves vivas e ovos"
"2541100","Fabricação de artigos de cutelaria"
"1091102","Fabricação de produtos de padaria e confeitaria com predominância de produção própria"
"2071100","Fabricação de tintas, vernizes, esmaltes e lacas"
"6619302","Correspondentes de instituições financeiras"
"4641901","Comércio atacadista de tecidos"
"4649409","Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada"
"4329105","Tratamentos térmicos, acústicos ou de vibração"
"9001999","Artes cênicas, espetáculos e atividades complementares não especificadas anteriormente"
"1031700","Fabricação de conservas de frutas"
"2840200","Fabricação de máquinas-ferramenta, peças e acessórios"
"4685100","Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção"
"4541203","Comércio a varejo de motocicletas e motonetas novas"
"4687703","Comércio atacadista de resíduos e sucatas metálicos"
"8299704","Leiloeiros independentes"
"8219999","Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente"
"5012201","Transporte marítimo de longo curso - Carga"
"8424800","Segurança e ordem pública"
"4922101","Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana"
"7729201","Aluguel de aparelhos de jogos eletrônicos"
"4611700","Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos"
"4911600","Transporte ferroviário de carga"
"2342702","Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"
"4530701","Comércio por atacado de peças e acessórios novos para veículos automotores"
"3314706","Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas"
"0210105","Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca"
"6612605","Agentes de investimentos em aplicações financeiras"
"2511000","Fabricação de estruturas metálicas"
"1413402","Confecção, sob medida, de roupas profissionais"
"6190601","Provedores de acesso às redes de comunicações"
"4623109","Comércio atacadista de alimentos para animais"
"0119905","Cultivo de feijão"
"8230002","Casas de festas e eventos"
"2441502","Produção de laminados de alumínio"
"4744001","Comércio varejista de ferragens e ferramentas"
"0133409","Cultivo de maracujá"
"4643501","Comércio atacadista de calçados"
"7733100","Aluguel de máquinas e equipamentos para escritórios"
"2211100","Fabricação de pneumáticos e de câmaras-de-ar"
"3822000","Tratamento e disposição de resíduos perigosos"
"4782202","Comércio varejista de artigos de viagem"
"2910701","Fabricação de automóveis, camionetas e utilitários"
"6120599","Serviços de telecomunicações sem fio não especificados anteriormente"
"9001901","Produção teatral"
"2341900","Fabricação de produtos cerâmicos refratários"
"2449102","Produção de laminados de zinco"
"8599604","Treinamento em desenvolvimento profissional e gerencial"
"4721102","Padaria e confeitaria com predominância de revenda"
"6611804","Administração de mercados de balcão organizados"
"3240002","Fabricação de mesas de bilhar, de sinuca e acessórios não associada à locação"
"4781400","Comércio varejista de artigos do vestuário e acessórios"
"4751202","Recarga de cartuchos para equipamentos de informática"
"0159801","Apicultura"
"0891600","Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos"
"1122401","Fabricação de refrigerantes"
"0155504","Criação de aves, exceto galináceos"
"4679699","Comércio atacadista de materiais de construção em geral"
"8592903","Ensino de música"
"4674500","Comércio atacadista de cimento"
"6435203","Companhias hipotecárias"
"4929999","Outros transportes rodoviários de passageiros não especificados anteriormente"
"8111700","Serviços combinados para apoio a edifícios, exceto condomínios prediais"
"2011800","Fabricação de cloro e álcalis"
"2759701","Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios"
"6612602","Distribuidoras de títulos e valores mobiliários"
"6612604","Corretoras de contratos de mercadorias"
"1813099","Impressão de material para outros usos"
"0322107","Atividades de apoio à aqüicultura em água doce"
"3042300","Fabricação de turbinas, motores e outros componentes e peças para aeronaves"
"4732600","Comércio varejista de lubrificantes"
"4221903","Manutenção de redes de distribuição de energia elétrica"
"4785701","Comércio varejista de antigüidades"
"4684299","Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente"
"3031800","Fabricação de locomotivas, vagões e outros materiais rodantes"
"6399200","Outras atividades de prestação de serviços de informação não especificadas anteriormente"
"8690902","Atividades de banco de leite humano"
"0210109","Produção de casca de acácia-negra - florestas plantadas"
"4729602","Comércio varejista de mercadorias em lojas de conveniência"
"2121101","Fabricação de medicamentos alopáticos para uso humano"
"1811302","Impressão de livros, revistas e outras publicações periódicas"
"3831901","Recuperação de sucatas de alumínio"
"4929904","Organização de excursões em veículos rodoviários próprios, intermunicipal, interestadual e internacional"
"0899101","Extração de grafita"
"7120100","Testes e análises técnicas"
"7830200","Fornecimento e gestão de recursos humanos para terceiros"
"1122499","Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente"
"2790201","Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores"
"4922102","Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual"
"7410299","atividades de design não especificadas anteriormente"
"0119909","Cultivo de tomate rasteiro"
"6209100","Suporte técnico, manutenção e outros serviços em tecnologia da informação"
"4722902","Peixaria"
"3313902","Manutenção e reparação de baterias e acumuladores elétricos, exceto para veículos"
"5812302","Edição de jornais não diários"
"1099605","Fabricação de produtos para infusão (chá, mate, etc.)"
"4755501","Comércio varejista de tecidos"
"8720499","Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química e grupos similares não"
"6201502","Web design"
"0139302","Cultivo de erva-mate"
"0153901","Criação de caprinos"
"3250706","Serviços de prótese dentária"
"0162803","Serviço de manejo de animais"
"1822999","Serviços de acabamentos gráficos, exceto encadernação e plastificação"
"3091102","Fabricação de peças e acessórios para motocicletas"
"4511106","Comércio por atacado de ônibus e microônibus novos e usados"
"6612601","Corretoras de títulos e valores mobiliários"
"2052500","Fabricação de desinfestantes domissanitários"
"0139304","Cultivo de plantas para condimento, exceto pimenta-do-reino"
"0162802","Serviço de tosquiamento de ovinos"
"3011302","Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte"
"8425600","Defesa Civil"
"0210106","Cultivo de mudas em viveiros florestais"
"5229002","Serviços de reboque de veículos"
"5011402","Transporte marítimo de cabotagem - passageiros"
"1629302","Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis"
"3103900","Fabricação de móveis de outros materiais, exceto madeira e metal"
"2061400","Fabricação de sabões e detergentes sintéticos"
"7912100","Operadores turísticos"
"2330303","Fabricação de artefatos de fibrocimento para uso na construção"
"0159803","Criação de escargô"
"3314799","Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente"
"6022502","Atividades relacionadas à televisão por assinatura, exceto programadoras"
"2512800","Fabricação de esquadrias de metal"
"2543800","Fabricação de ferramentas"
"0311601","Pesca de peixes em água salgada"
"4693100","Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários"
"7220700","Pesquisa e desenvolvimento experimental em ciências sociais e humanas"
"3900500","Descontaminação e outros serviços de gestão de resíduos"
"0723502","Beneficiamento de minério de manganês"
"4645103","Comércio atacadista de produtos odontológicos"
"7490101","Serviços de tradução, interpretação e similares"
"3314709","Manutenção e reparação de máquinas de escrever, calcular e de outros equipamentos não-eletrônicos para escritório"
"4292802","Obras de montagem industrial"
"4623107","Comércio atacadista de sisal"
"2513600","Fabricação de obras de caldeiraria pesada"
"5913800","Distribuição cinematográfica, de vídeo e de programas de televisão"
"2599301","Serviços de confecção de armações metálicas para a construção"
"3292202","Fabricação de equipamentos e acessórios para segurança pessoal e profissional"
"4763601","Comércio varejista de brinquedos e artigos recreativos"
"2865800","Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios"
"7020400","Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica"
"0725100","Extração de minerais radioativos"
"9491000","Atividades de organizações religiosas ou filosóficas"
"3314710","Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente"
"1322700","Tecelagem de fios de fibras têxteis naturais, exceto algodão"
"4711302","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados"
"4399102","Montagem e desmontagem de andaimes e outras estruturas temporárias"
"2073800","Fabricação de impermeabilizantes, solventes e produtos afins"
"3299005","Fabricação de aviamentos para costura"
"6550200","Planos de saúde"
"4633801","Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos"
"1096100","Fabricação de alimentos e pratos prontos"
"9101500","Atividades de bibliotecas e arquivos"
"0116403","Cultivo de mamona"
"8640203","Serviços de diálise e nefrologia"
"4615000","Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico"
"4679604","Comércio atacadista especializado de materiais de construção não especificados anteriormente"
"8299706","Casas lotéricas"
"0131800","Cultivo de laranja"
"8592999","Ensino de arte e cultura não especificado anteriormente"
"7420004","Filmagem de festas e eventos"
"7729203","Aluguel de material médico"
"0321303","Criação de ostras e mexilhões em água salgada e salobra"
"4669999","Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças"
"2449103","Fabricação de ânodos para galvanoplastia"
"6619399","Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente"
"6810202","Aluguel de imóveis próprios"
"2930102","Fabricação de carrocerias para ônibus"
"2852600","Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo"
"4649406","Comércio atacadista de lustres, luminárias e abajures"
"5239799","Atividades auxiliares dos transportes aquaviários não especificadas anteriormente"
"2099101","Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia"
"1314600","Fabricação de linhas para costurar e bordar"
"4637104","Comércio atacadista de pães, bolos, biscoitos e similares"
"2593400","Fabricação de artigos de metal para uso doméstico e pessoal"
"4661300","Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças"
"6493000","Administração de consórcios para aquisição de bens e direitos"
"7820500","Locação de mão-de-obra temporária"
"1111901","Fabricação de aguardente de cana-de-açúcar"
"1521100","Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material"
"1122403","Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas"
"4520006","Serviços de borracharia para veículos automotores"
"5112999","Outros serviços de transporte aéreo de passageiros não-regular"
"5221400","Concessionárias de rodovias, pontes, túneis e serviços relacionados"
"2710402","Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios"
"1413403","Facção de roupas profissionais"
"6911703","Agente de propriedade industrial"
"3520402","Distribuição de combustíveis gasosos por redes urbanas"
"8411600","Administração pública em geral"
"4636201","Comércio atacadista de fumo beneficiado"
"6621502","Auditoria e consultoria atuarial"
"3317102","Manutenção e reparação de embarcações para esporte e lazer"
"4530704","Comércio a varejo de peças e acessórios usados para veículos automotores"
"2229399","Fabricação de artefatos de material plástico para outros usos não especificados anteriormente"
"8230001","Serviços de organização de feiras, congressos, exposições e festas"
"8592901","Ensino de dança"
"9329804","Exploração de jogos eletrônicos recreativos"
"1742701","Fabricação de fraldas descartáveis"
"0111303","Cultivo de trigo"
"0220904","Coleta de látex em florestas nativas"
"3520401","Produção de gás; processamento de gás natural"
"7319099","Outras atividades de publicidade não especificadas anteriormente"
"5590601","Albergues, exceto assistenciais"
"4541207","Comércio a varejo de peças e acessórios usados para motocicletas e motonetas"
"1531901","Fabricação de calçados de couro"
"0810008","Extração de saibro e beneficiamento associado"
"3299001","Fabricação de guarda-chuvas e similares"
"4940000","Transporte dutoviário"
"4751200","Comércio varejista especializado de equipamentos e suprimentos de informática"
"1081301","Beneficiamento de café"
"0151203","Criação de bovinos, exceto para corte e leite"
"4637105","Comércio atacadista de massas alimentícias"
"5812300","Edição de jornais"
"6499902","Sociedades de investimento"
"1352900","Fabricação de artefatos de tapeçaria"
"6520100","Sociedade seguradora de seguros saúde"
"3314712","Manutenção e reparação de tratores agrícolas"
"1813001","Impressão de material para uso publicitário"
"4399104","Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras"
"2330399","Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes"
"4623104","Comércio atacadista de fumo em folha não beneficiado"
"8730102","Albergues assistenciais"
"0155501","Criação de frangos para corte"
"6530800","Resseguros"
"1011204","Frigorífico - abate de bufalinos"
"3299099","Fabricação de produtos diversos não especificados anteriormente"
"8299707","Salas de acesso à internet"
"5231103","Gestão de terminais aquaviários"
"4634602","Comércio atacadista de aves abatidas e derivados"
"4644301","Comércio atacadista de medicamentos e drogas de uso humano"
"2222600","Fabricação de embalagens de material plástico"
"2592601","Fabricação de produtos de trefilados de metal padronizados"
"0139303","Cultivo de pimenta-do-reino"
"1741902","Fabricação de produtos de papel, cartolina, papel cartão e papelão ondulado para uso comercial e de escritório, exceto formulário contínuo"
"7119701","Serviços de cartografia, topografia e geodésia"
"4721103","Comércio varejista de laticínios e frios"
"4520001","Serviços de manutenção e reparação mecânica de veículos automotores"
"9001902","Produção musical"
"4649405","Comércio atacadista de artigos de tapeçaria; persianas e cortinas"
"4759899","Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente"
"6424703","Cooperativas de crédito mútuo"
"8012900","Atividades de transporte de valores"
"1411802","Facção de roupas íntimas"
"0141502","Produção de sementes certificadas de forrageiras para formação de pasto"
"4744005","Comércio varejista de materiais de construção não especificados anteriormente"
"6463800","Outras sociedades de participação, exceto holdings"
"4930203","Transporte rodoviário de produtos perigosos"
"2040100","Fabricação de fibras artificiais e sintéticas"
"1354500","Fabricação de tecidos especiais, inclusive artefatos"
"4646002","Comércio atacadista de produtos de higiene pessoal"
"8511200","Educação infantil - creche"
"1210700","Processamento industrial do fumo"
"2751100","Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios"
"6920601","Atividades de contabilidade"
"2342701","Fabricação de azulejos e pisos"
"4329199","Outras obras de instalações em construções não especificadas anteriormente"
"4681804","Comércio atacadista de combustíveis de origem mineral em bruto"
"2632900","Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios"
"4635403","Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada"
"0161003","Serviço de preparação de terreno, cultivo e colheita"
"9609204","Exploração de máquinas de serviços pessoais acionadas por moeda"
"0210101","Cultivo de eucalipto"
"0729403","Extração de minério de níquel"
"3299002","Fabricação de canetas, lápis e outros artigos para escritório"
"4649403","Comércio atacadista de bicicletas, triciclos e outros veículos recreativos"
"4687701","Comércio atacadista de resíduos de papel e papelão"
"1733800","Fabricação de chapas e de embalagens de papelão ondulado"
"9603303","Serviços de sepultamento"
"9311500","Gestão de instalações de esportes"
"4652400","Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação"
"1020101","Preservação de peixes, crustáceos e moluscos"
"4921302","Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana"
"3314714","Manutenção e reparação de máquinas e equipamentos para a prospecção e extração de petróleo"
"6423900","Caixas econômicas"
"8888888","Atividade Econônica não informada"
"6437900","Sociedades de crédito ao microempreendedor"
"6421200","Bancos comerciais"
"4664800","Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças"
"8640205","Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia"
"9529101","Reparação de calçados, bolsas e artigos de viagem"
"4330403","Obras de acabamento em gesso e estuque"
"7719501","Locação de embarcações sem tripulação, exceto para fins recreativos"
"2815102","Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos"
"8122200","Imunização e controle de pragas urbanas"
"6611801","Bolsa de valores"
"4713004","Lojas de departamentos ou magazines, exceto lojas francas (Duty free)"
"4618499","Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente"
"1099606","Fabricação de adoçantes naturais e artificiais"
"5811500","Edição de livros"
"3832700","Recuperação de materiais plásticos"
"2740601","Fabricação de lâmpadas"
"0710301","Extração de minério de ferro"
"4683400","Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo"
"1011203","Frigorífico - abate de ovinos e caprinos"
"2920401","Fabricação de caminhões e ônibus"
"4649410","Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas"
"2740602","Fabricação de luminárias e outros equipamentos de iluminação"
"4757100","Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação"
"5590602","Campings"
"0210108","Produção de carvão vegetal - florestas plantadas"
"2431800","Produção de tubos de aço com costura"
"3821100","Tratamento e disposição de resíduos não-perigosos"
"4691500","Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios"
"1811301","Impressão de jornais"
"4930202","Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional"
"2831300","Fabricação de tratores agrícolas, peças e acessórios"
"2945000","Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias"
"1610204","Serrarias sem desdobramento de madeira em bruto  -Resserragem"
"8542200","Educação profissional de nível tecnológico"
"1099603","Fabricação de fermentos e leveduras"
"0311603","Coleta de outros produtos marinhos"
"8690904","Atividades de podologia"
"1414200","Fabricação de acessórios do vestuário, exceto para segurança e proteção"
"8220200","Atividades de teleatendimento"
"1061901","Beneficiamento de arroz"
"2092403","Fabricação de fósforos de segurança"
"3839401","Usinas de compostagem"
"0724301","Extração de minério de metais preciosos"
"6204000","Consultoria em tecnologia da informação"
"2731700","Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica"
"8299703","Serviços de gravação de carimbos, exceto confecção"
"1043100","Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais"
"0322102","Criação de camarões em água doce"
"3811400","Coleta de resíduos não-perigosos"
"4291000","Obras portuárias, marítimas e fluviais"
"7810800","Seleção e agenciamento de mão-de-obra"
"7319003","Marketing direto"
"9602502","Atividades de estética e outros serviços de cuidados com a beleza"
"2759799","Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios"
"0500301","Extração de carvão mineral"
"1741901","Fabricação de formulários contínuos"
"4221901","Construção de barragens e represas para geração de energia elétrica"
"0119999","Cultivo de outras plantas de lavoura temporária não especificadas anteriormente"
"1041400","Fabricação de óleos vegetais em bruto, exceto óleo de milho"
"6120502","Serviço móvel especializado - SME"
"7990200","Serviços de reservas e outros serviços de turismo não especificados anteriormente"
"6110802","Serviços de redes de transportes de telecomunicações - SRTT"
"8599603","Treinamento em informática"
"3812200","Coleta de resíduos perigosos"
"6619304","Caixas eletrônicos"
"0155503","Criação de outros galináceos, exceto para corte"
"1011205","Matadouro - abate de reses sob contrato - exceto abate de suínos"
"2821601","Fabricação de fornos industriais, aparelhos e equipamentos não-elétricos para instalações térmicas, peças e acessórios"
"9529104","Reparação de bicicletas, triciclos e outros veículos não-motorizados"
"1033302","Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados"
"1340501","Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário"
"4634603","Comércio atacadista de pescados e frutos do mar"
"4541206","Comércio a varejo de peças e acessórios novos para  motocicletas e motonetas"
"3314704","Manutenção e reparação de compressores"
"9200302","Exploração de apostas em corridas de cavalos"
"0210199","Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas"
"5229099","Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente"
"4789009","Comércio varejista de armas e munições"
"1062700","Moagem de trigo e fabricação de derivados"
"7490102","Escafandria e mergulho"
"1422300","Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias"
"5011401","Transporte marítimo de cabotagem - Carga"
"2670101","Fabricação de equipamentos e instrumentos ópticos, peças e acessórios"
"3211602","Fabricação de artefatos de joalheria e ourivesaria"
"0322199","Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente"
"0112102","Cultivo de juta"
"3314719","Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo"
"5812301","Edição de jornais diários"
"0500302","Beneficiamento de carvão mineral"
"3314718","Manutenção e reparação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta"
"5130700","Transporte espacial"
"1340599","Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário"
"7739099","Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador"
"7729202","Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal; instrumentos musicais"
"5091201","Transporte por navegação de travessia, municipal"
"8720401","Atividades de centros de assistência psicossocial"
"2710401","Fabricação de geradores de corrente contínua e alternada, peças e acessórios"
"7111100","Serviços de arquitetura"
"4782201","Comércio varejista de calçados"
"2441501","Produção de alumínio e suas ligas em formas primárias"
"9430800","Atividades de associações de defesa de direitos sociais"
"4929903","Organização de excursões em veículos rodoviários próprios, municipal"
"2539001","Serviços de usinagem, tornearia e solda"
"6391700","Agências de notícias"
"4213800","Obras de urbanização - ruas, praças e calçadas"
"3250703","Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral sob encomenda"
"8650003","Atividades de psicologia e psicanálise"
"2330301","Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda"
"4930201","Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal."
"7420005","Serviços de microfilmagem"
"3831999","Recuperação de materiais metálicos, exceto alumínio"
"5620101","Fornecimento de alimentos preparados preponderantemente para empresas"
"7311400","Agências de publicidade"
"9200301","Casas de bingo"
"9319101","Produção e promoção de eventos esportivos"
"0810003","Extração de mármore e beneficiamento associado"
"8512100","Educação infantil - pré-escola"
"8711501","Clínicas e residências geriátricas"
"1722200","Fabricação de cartolina e papel-cartão"
"8020002","Outras atividades de serviços de segurança"
"4950700","Trens turísticos, teleféricos e similares"
"5911199","Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente"
"2854200","Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores"
"4637107","Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes"
"1922502","Rerrefino de óleos lubrificantes"
"6611803","Bolsa de mercadorias e futuros"
"3041500","Fabricação de aeronaves"
"6110801","Serviços de telefonia fixa comutada - STFC"
"9603399","Atividades funerárias e serviços relacionados não especificados anteriormente"
"2930103","Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus"
"5099801","Transporte aquaviário para passeios turísticos"
"0142300","Produção de mudas e outras formas de propagação vegetal, certificadas"
"2863100","Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios"
