"uf","descricao"
"PB","SANTO ANDRE"
"PR","REALEZA"
"MG","MINDURI"
"MG","ITATIAIUCU"
"SP","ITOBI"
"MA","SAO MATEUS DO MARANHAO"
"SP","IGARACU DO TIETE"
"RO","ROLIM DE MOURA"
"MA","SAO FRANCISCO DO BREJAO"
"RN","TAIPU"
"AL","PIRANHAS"
"MG","ENGENHEIRO NAVARRO"
"CE","MARACANAU"
"SP","MENDONCA"
"TO","ARAGUANA"
"GO","UIRAPURU"
"RJ","RESENDE"
"BA","UBATA"
"MA","BURITIRANA"
"SC","MONTE CASTELO"
"CE","NOVA OLINDA"
"RS","SERTAO"
"SP","JUMIRIM"
"RS","IPE"
"MS","SAO GABRIEL DO OESTE"
"SP","HERCULANDIA"
"RS","SEBERI"
"SP","BENTO DE ABREU"
"SP","UBIRAJARA"
"RS","SAO JOSE DO NORTE"
"MG","TARUMIRIM"
"PI","SAO LOURENCO DO PIAUI"
"TO","SILVANOPOLIS"
"RS","TIRADENTES DO SUL"
"SP","GUARACAI"
"PE","CAMUTANGA"
"PR","MARILANDIA DO SUL"
"RS","AGUA SANTA"
"PR","CANDIDO DE ABREU"
"PI","RIBEIRA DO PIAUI"
"RS","CERRO BRANCO"
"MT","ALTO PARAGUAI"
"MG","PINTOPOLIS"
"ES","PINHEIROS"
"GO","AMARALINA"
"CE","CRUZ"
"MG","JURUAIA"
"RS","FONTOURA XAVIER"
"MG","GUARDA-MOR"
"PA","MOJU"
"RS","AGUDO"
"PB","LAGOA SECA"
"BA","IRAQUARA"
"BA","BELO CAMPO"
"SC","GRAVATAL"
"PR","JAPIRA"
"RS","PLANALTO"
"RJ","IGUABA GRANDE"
"MG","SAO VICENTE DE MINAS"
"SP","CACONDE"
"GO","FLORES DE GOIAS"
"RJ","MACAE"
"PI","GUARIBAS"
"PB","SANTA CRUZ"
"BA","NOVA SOURE"
"BA","GOVERNADOR MANGABEIRA"
"AL","SAO JOSE DA LAJE"
"RJ","CARMO"
"SC","BRACO DO TROMBUDO"
"MA","ANAPURUS"
"PE","BODOCO"
"RS","HULHA NEGRA"
"BA","IACU"
"MG","LUISBURGO"
"PI","HUGO NAPOLEAO"
"MG","PECANHA"
"PE","FERNANDO DE NORONHA"
"SC","JARDINOPOLIS"
"PR","CONGONHINHAS"
"MA","IGARAPE DO MEIO"
"SP","ARIRANHA"
"GO","NEROPOLIS"
"SC","BELMONTE"
"RS","PAIM FILHO"
"PR","CORBELIA"
"PB","SAO FRANCISCO"
"AC","ACRELANDIA"
"SP","RINCAO"
"MG","SAO GONCALO DO SAPUCAI"
"AL","IGREJA NOVA"
"PA","VITORIA DO XINGU"
"MT","TESOURO"
"BA","ILHEUS"
"SP","SALMOURAO"
"BA","ITAJU DO COLONIA"
"BA","ITAETE"
"RS","VIADUTOS"
"MG","RIBEIRAO VERMELHO"
"SP","PORANGABA"
"MG","RITAPOLIS"
"MG","SAO JOSE DO ALEGRE"
"CE","PENAFORTE"
"PA","ABEL FIGUEIREDO"
"SP","JOAO RAMALHO"
"GO","CRIXAS"
"MG","IGARATINGA"
"SP","PIEDADE"
"SP","GUAPIACU"
"PR","RESERVA DO IGUACU"
"BA","ITAPEBI"
"BA","CRUZ DAS ALMAS"
"MS","BONITO"
"RN","ITAJA"
"MG","VIRGINIA"
"GO","ANICUNS"
"PR","SANTA HELENA"
"RS","SANTA CLARA DO SUL"
"MG","RIO PRETO"
"PR","CORONEL DOMINGOS SOARES"
"AL","OLHO D'AGUA DAS FLORES"
"SC","ATALANTA"
"SC","SAO BONIFACIO"
"SC","SAO JOSE DO CERRITO"
"PB","SAO JOSE DE ESPINHARAS"
"MA","GOVERNADOR EDISON LOBAO"
"GO","ARENOPOLIS"
"CE","JAGUARIBE"
"TO","CHAPADA DE AREIA"
"BA","SERRA PRETA"
"PA","FARO"
"RR","ALTO ALEGRE"
"SP","CABREUVA"
"PR","UNIAO DA VITORIA"
"RJ","SAO JOSE DE UBA"
"PR","BELA VISTA DO PARAISO"
"SP","SEBASTIANOPOLIS DO SUL"
"RS","CORONEL BARROS"
"BA","VARZEA DA ROCA"
"BA","COCOS"
"SC","PONTE SERRADA"
"PE","PARNAMIRIM"
"SP","QUADRA"
"RS","SANTIAGO"
"ES","ECOPORANGA"
"MG","BOM JESUS DA PENHA"
"SC","SAO JOAQUIM"
"SC","CANELINHA"
"RS","SERTAO SANTANA"
"SP","CASTILHO"
"PR","LIDIANOPOLIS"
"BA","ALCOBACA"
"BA","ITABERABA"
"PR","PEROLA"
"TO","ARAGUACU"
"PI","PEDRO LAURENTINO"
"RN","SAO RAFAEL"
"GO","PANAMA"
"MG","PIRAJUBA"
"PR","CRUZEIRO DO IGUACU"
"AM","PRESIDENTE FIGUEIREDO"
"TO","PEDRO AFONSO"
"MA","CENTRO DO GUILHERME"
"BA","ICHU"
"MS","CARACOL"
"SP","UBATUBA"
"SP","PIRAJU"
"RJ","SANTO ANTONIO DE PADUA"
"PI","PASSAGEM FRANCA DO PIAUI"
"BA","AURELINO LEAL"
"GO","BRITANIA"
"RN","NISIA FLORESTA"
"GO","POSSE"
"MG","VIEIRAS"
"RN","SAO GONCALO DO AMARANTE"
"RN","LAJES PINTADAS"
"GO","ANHANGUERA"
"MG","PEDRO LEOPOLDO"
"SP","ARACOIABA DA SERRA"
"MG","BOCAINA DE MINAS"
"AL","INHAPI"
"SC","IPUACU"
"RS","BUTIA"
"PA","PONTA DE PEDRAS"
"PR","RIBEIRAO DO PINHAL"
"PA","SANTO ANTONIO DO TAUA"
"PA","BENEVIDES"
"PE","CARNAIBA"
"RJ","ITABORAI"
"MG","CONFINS"
"SP","TUPA"
"SC","BALNEARIO BARRA DO SUL"
"SC","PASSOS MAIA"
"MG","CAMACHO"
"PR","TURVO"
"BA","FLORESTA AZUL"
"SP","GUARANTA"
"ES","JOAO NEIVA"
"PE","SAO JOSE DO EGITO"
"RS","TRES COROAS"
"SC","ENTRE RIOS"
"RO","ALTO PARAISO"
"PR","GENERAL CARNEIRO"
"PE","CABROBO"
"ES","MONTANHA"
"AC","PLACIDO DE CASTRO"
"SC","MIRIM DOCE"
"MT","CURVELANDIA"
"GO","COCALZINHO DE GOIAS"
"MS","ITAPORA"
"RJ","SANTA MARIA MADALENA"
"MA","BARRA DO CORDA"
"SP","TEODORO SAMPAIO"
"BA","IBITITA"
"SC","SAO JOSE"
"RS","CARLOS GOMES"
"SP","ARUJA"
"PB","SAO JOSE DE CAIANA"
"RS","CAPELA DE SANTANA"
"BA","SANTO AMARO"
"SP","HORTOLANDIA"
"SP","PAULINIA"
"PB","BAYEUX"
"SC","ITAIOPOLIS"
"TO","PORTO NACIONAL"
"RS","SANTA TEREZA"
"MA","ARAME"
"RS","ARROIO GRANDE"
"AM","MANACAPURU"
"PI","VARZEA BRANCA"
"RS","BARRA DO GUARITA"
"RS","ROQUE GONZALES"
"PI","CASTELO DO PIAUI"
"SE","MARUIM"
"SE","PINHAO"
"AL","RIO LARGO"
"RS","BARRA DO RIO AZUL"
"RJ","PINHEIRAL"
"PR","GOIOERE"
"PR","PINHAO"
"PR","CAMBIRA"
"GO","FAINA"
"SP","MONCOES"
"RS","DEZESSEIS DE NOVEMBRO"
"MS","RIO VERDE DE MATO GROSSO"
"TO","ESPERANTINA"
"CE","CAMOCIM"
"SC","CHAPECO"
"MG","BUENO BRANDAO"
"RN","GUAMARE"
"MG","PESCADOR"
"MT","JUSCIMEIRA"
"RS","BROCHIER"
"RN","CAICO"
"PE","CARUARU"
"SP","PRESIDENTE PRUDENTE"
"GO","CALDAS NOVAS"
"RS","SANTA ROSA"
"MA","SAO JOAO DO CARU"
"SP","ARANDU"
"PA","CACHOEIRA DO PIRIA"
"PR","LAPA"
"PA","ULIANOPOLIS"
"TO","SAO SALVADOR DO TOCANTINS"
"MG","IMBE DE MINAS"
"SP","INUBIA PAULISTA"
"SC","JACINTO MACHADO"
"RJ","JAPERI"
"RN","ARES"
"MG","CRISTALIA"
"PR","NOVA LARANJEIRAS"
"AL","SANTANA DO MUNDAU"
"PR","SAO JOAO DO CAIUA"
"GO","ALTO PARAISO DE GOIAS"
"PE","ITAPISSUMA"
"PR","SERTANOPOLIS"
"MA","SAO JOAO BATISTA"
"GO","ANAPOLIS"
"SE","CUMBE"
"MG","ITAVERAVA"
"RS","ILOPOLIS"
"RS","CANDIDO GODOI"
"MA","SANTA HELENA"
"SC","TIMBE DO SUL"
"BA","BROTAS DE MACAUBAS"
"RN","SERRA CAIADA"
"BA","LAMARAO"
"SE","CARIRA"
"SP","DRACENA"
"SP","PALESTINA"
"SC","VIDEIRA"
"RS","NOVO HAMBURGO"
"MG","CASSIA"
"SP","PILAR DO SUL"
"PA","NOVA IPIXUNA"
"RS","CAMPO NOVO"
"MG","PAI PEDRO"
"SP","PIRAPORA DO BOM JESUS"
"AL","PAO DE ACUCAR"
"BA","LAGOA REAL"
"PE","LAGOA DOS GATOS"
"BA","CAATIBA"
"MG","INDIANOPOLIS"
"SP","MARTINOPOLIS"
"PE","IPOJUCA"
"MG","MORRO DA GARCA"
"RS","LAGOAO"
"AL","COQUEIRO SECO"
"GO","PIRACANJUBA"
"GO","PIRES DO RIO"
"GO","CORREGO DO OURO"
"PR","CASCAVEL"
"MG","JAPARAIBA"
"SP","SALTO"
"PR","DOURADINA"
"GO","GOIAS"
"SP","SANTA SALETE"
"SC","IPIRA"
"MG","SANTA RITA DE MINAS"
"CE","CRATO"
"CE","REDENCAO"
"RS","SAO MARTINHO DA SERRA"
"SP","AGUAS DE SAO PEDRO"
"SC","DOUTOR PEDRINHO"
"MT","COMODORO"
"MG","SANTA CRUZ DO ESCALVADO"
"SP","JARINU"
"PA","VISEU"
"MG","SANTA BARBARA"
"PR","FOZ DO IGUACU"
"MG","JESUANIA"
"MA","GODOFREDO VIANA"
"RN","CARNAUBAIS"
"PR","CORNELIO PROCOPIO"
"GO","OURO VERDE DE GOIAS"
"RN","ALEXANDRIA"
"BA","IBIASSUCE"
"RN","LUCRECIA"
"SP","ITAPUI"
"MG","PADRE PARAISO"
"TO","SANTA FE DO ARAGUAIA"
"CE","SOBRAL"
"RS","LAGOA DOS TRES CANTOS"
"CE","COREAU"
"BA","CONCEICAO DO JACUIPE"
"PE","GRANITO"
"SC","TREZE TILIAS"
"SC","ARMAZEM"
"PI","SAO BRAZ DO PIAUI"
"GO","DIORAMA"
"MG","LAGOA DOS PATOS"
"AM","JAPURA"
"SP","CORONEL MACEDO"
"RO","PRIMAVERA DE RONDONIA"
"GO","GOIANIRA"
"BA","CORRENTINA"
"BA","SERRA DO RAMALHO"
"GO","URUTAI"
"BA","CORONEL JOAO SA"
"MG","CORONEL FABRICIANO"
"SC","BOM RETIRO"
"RS","SAO JOSE DO INHACORA"
"MG","PASSABEM"
"SP","MESOPOLIS"
"CE","CARIDADE"
"MG","SERICITA"
"SP","CEDRAL"
"MG","RAPOSOS"
"PI","AVELINO LOPES"
"PB","LOGRADOURO"
"SP","RIBEIRA"
"SP","PACAEMBU"
"AL","COLONIA LEOPOLDINA"
"MG","CARMO DE MINAS"
"ES","MUQUI"
"PA","NOVA TIMBOTEUA"
"SP","OCAUCU"
"MG","IBITURUNA"
"ES","IBATIBA"
"GO","PORTELANDIA"
"SP","ITAJU"
"PE","AMARAJI"
"PB","TENORIO"
"MG","FRANCISCO DUMONT"
"SP","PATROCINIO PAULISTA"
"PI","BETANIA DO PIAUI"
"PR","NOVA ESPERANCA DO SUDOESTE"
"GO","SAO LUIS DE MONTES BELOS"
"RS","MAQUINE"
"MS","JUTI"
"BA","CANAVIEIRAS"
"PB","BELEM"
"MG","SAO SEBASTIAO DO MARANHAO"
"BA","IBIQUERA"
"BA","ENTRE RIOS"
"GO","SANTO ANTONIO DA BARRA"
"PR","RANCHO ALEGRE D'OESTE"
"SE","MALHADOR"
"PE","VICENCIA"
"CE","MARTINOPOLE"
"PR","IMBAU"
"SC","NOVA ERECHIM"
"MA","BARAO DE GRAJAU"
"BA","RIO REAL"
"SP","ESPIRITO SANTO DO PINHAL"
"MG","SANTA BARBARA DO TUGURIO"
"PR","CAMPINA DO SIMAO"
"GO","BONOPOLIS"
"PE","PETROLINA"
"MT","SAO JOSE DO RIO CLARO"
"SC","JUPIA"
"PB","MONTE HOREBE"
"PE","CARPINA"
"GO","NOVA AMERICA"
"MA","LORETO"
"PB","CURRAL VELHO"
"RN","SENADOR ELOI DE SOUZA"
"MA","CANDIDO MENDES"
"PE","GAMELEIRA"
"RO","CEREJEIRAS"
"MS","BELA VISTA"
"MG","PERDIZES"
"MA","LAGO DOS RODRIGUES"
"PI","JATOBA DO PIAUI"
"GO","MAMBAI"
"RN","ITAU"
"RS","MORRO REDONDO"
"RS","CRUZEIRO DO SUL"
"RS","CRISTAL DO SUL"
"MG","INDAIABIRA"
"PR","TAMARANA"
"CE","INDEPENDENCIA"
"RS","SALTO DO JACUI"
"RR","AMAJARI"
"SC","SAO PEDRO DE ALCANTARA"
"GO","CACHOEIRA DOURADA"
"SC","MASSARANDUBA"
"PR","CONSELHEIRO MAIRINCK"
"RS","JACUTINGA"
"PR","MARQUINHO"
"SC","TURVO"
"MG","BALDIM"
"PI","MARCOLANDIA"
"PB","MALTA"
"PB","ITAPORANGA"
"SP","EMBAUBA"
"MG","SANTO ANTONIO DO JACINTO"
"SP","MONTE ALEGRE DO SUL"
"PI","NOVO SANTO ANTONIO"
"SP","BARRA BONITA"
"MG","CHALE"
"MG","FERVEDOURO"
"PA","AUGUSTO CORREA"
"MG","RIO ESPERA"
"BA","PINTADAS"
"SP","ILHA SOLTEIRA"
"MG","ANGELANDIA"
"PR","CAMPO BONITO"
"GO","CEZARINA"
"PR","PATO BRANCO"
"MG","MUNHOZ"
"RS","CAMPINA DAS MISSOES"
"MG","MONTE CARMELO"
"RN","CAMPO GRANDE"
"MG","POUSO ALEGRE"
"MG","CATUJI"
"RS","SAO VALENTIM"
"PB","SAO VICENTE DO SERIDO"
"CE","MONSENHOR TABOSA"
"SE","RIBEIROPOLIS"
"MG","SERRO"
"RS","SAO VALENTIM DO SUL"
"MS","JARAGUARI"
"MG","SENADOR JOSE BENTO"
"SP","PROMISSAO"
"MG","CANA VERDE"
"BA","SANTO ANTONIO DE JESUS"
"PA","LIMOEIRO DO AJURU"
"SP","CANDIDO MOTA"
"SC","GUABIRUBA"
"MG","MERCES"
"GO","SANTO ANTONIO DE GOIAS"
"AM","BARREIRINHA"
"BA","CARINHANHA"
"CE","AIUABA"
"CE","ARACATI"
"BA","BAIXA GRANDE"
"SP","LAVINIA"
"SC","DONA EMMA"
"SC","PINHEIRO PRETO"
"SP","CERQUEIRA CESAR"
"RS","IPIRANGA DO SUL"
"BA","BOM JESUS DA LAPA"
"BA","MULUNGU DO MORRO"
"MG","ALFENAS"
"BA","NOVA REDENCAO"
"GO","COLINAS DO SUL"
"MG","SAO JOAO DO MANTENINHA"
"BA","PIRITIBA"
"SP","TAMBAU"
"RS","SAPUCAIA DO SUL"
"MG","SAO PEDRO DO SUACUI"
"PB","BARRA DE SANTA ROSA"
"CE","ITATIRA"
"AC","JORDAO"
"SP","ITAPEVA"
"MG","CRUZEIRO DA FORTALEZA"
"AL","CANAPI"
"SC","MARAVILHA"
"RJ","VOLTA REDONDA"
"MG","CAMANDUCAIA"
"MT","ITIQUIRA"
"PR","VENTANIA"
"SC","ANCHIETA"
"MG","SENADOR CORTES"
"MG","CAMPO DO MEIO"
"RJ","RIO BONITO"
"AL","PORTO DE PEDRAS"
"AC","RIO BRANCO"
"PI","PIRIPIRI"
"MT","PEIXOTO DE AZEVEDO"
"MG","PRESIDENTE BERNARDES"
"RN","SANTA CRUZ"
"BA","IBIRAPUA"
"MG","MONTEZUMA"
"SP","NATIVIDADE DA SERRA"
"BA","MONTE SANTO"
"SP","IEPE"
"MG","MUTUM"
"MG","ITAIPE"
"SP","JANDIRA"
"PR","PITANGA"
"PA","AFUA"
"GO","BONFINOPOLIS"
"BA","DOM MACEDO COSTA"
"SC","RIQUEZA"
"MG","MATERLANDIA"
"BA","ANTONIO GONCALVES"
"PR","BARRA DO JACARE"
"SP","SANTO ANTONIO DE POSSE"
"RS","IBIACA"
"RS","DOM FELICIANO"
"MS","RIO BRILHANTE"
"BA","ABARE"
"MG","DOM BOSCO"
"SC","IMBITUBA"
"GO","NOVA CRIXAS"
"MG","DORES DE GUANHAES"
"SP","INDIAPORA"
"SP","LOUVEIRA"
"RS","DOIS LAJEADOS"
"BA","RAFAEL JAMBEIRO"
"MG","SANTO ANTONIO DO MONTE"
"MG","BOM SUCESSO"
"SP","MIRANDOPOLIS"
"SP","BURITIZAL"
"TO","PARANA"
"AM","MANAUS"
"RS","PROGRESSO"
"SC","BOM JARDIM DA SERRA"
"GO","SAO LUIZ DO NORTE"
"RS","EREBANGO"
"PE","BUENOS AIRES"
"SP","MARINOPOLIS"
"MA","FORMOSA DA SERRA NEGRA"
"PA","ALENQUER"
"PI","LAGOA ALEGRE"
"BA","MACAUBAS"
"MS","DOURADINA"
"MG","JOAIMA"
"PA","SAPUCAIA"
"SP","CAIUA"
"AM","BORBA"
"PB","UMBUZEIRO"
"AM","IRANDUBA"
"PR","ALTO PIQUIRI"
"MG","SAO JOAO DO ORIENTE"
"TO","AXIXA DO TOCANTINS"
"PR","DIAMANTE D'OESTE"
"PI","PICOS"
"MA","ZE DOCA"
"PE","TIMBAUBA"
"MG","CARNEIRINHO"
"MG","IRAI DE MINAS"
"MG","SOLEDADE DE MINAS"
"SP","AGUAI"
"SP","SAO JOAO DA BOA VISTA"
"BA","SAO MIGUEL DAS MATAS"
"SP","CAJURU"
"GO","PALMELO"
"MG","LARANJAL"
"GO","GOIANIA"
"PI","AGUA BRANCA"
"AM","EIRUNEPE"
"AL","CRAIBAS"
"MG","BARBACENA"
"MG","SAO FRANCISCO DO GLORIA"
"GO","SAO PATRICIO"
"SC","LONTRAS"
"AP","PORTO GRANDE"
"GO","ADELANDIA"
"RS","SAO PEDRO DO SUL"
"MG","PEQUI"
"PI","BURITI DOS MONTES"
"SE","BOQUIM"
"PI","ITAINOPOLIS"
"CE","IBICUITINGA"
"BA","AMARGOSA"
"MG","CACHOEIRA DE PAJEU"
"RS","SALVADOR DAS MISSOES"
"PI","BENEDITINOS"
"MS","BATAGUASSU"
"PR","SAO MATEUS DO SUL"
"SC","SAO MARTINHO"
"SP","MARIAPOLIS"
"RS","FARROUPILHA"
"PI","LAGOA DO SITIO"
"MA","BALSAS"
"SP","GUARUJA"
"MG","TIROS"
"SP","MARACAI"
"SP","RIO DAS PEDRAS"
"PE","RIACHO DAS ALMAS"
"ES","ICONHA"
"PR","CURIUVA"
"MG","SILVIANOPOLIS"
"SE","AQUIDABA"
"MG","OURO FINO"
"MG","SABINOPOLIS"
"MT","GAUCHA DO NORTE"
"BA","ENCRUZILHADA"
"MG","PADRE CARVALHO"
"PR","QUINTA DO SOL"
"RN","MONTANHAS"
"PR","WENCESLAU BRAZ"
"MG","MONTE ALEGRE DE MINAS"
"PA","SANTAREM NOVO"
"MA","PORTO FRANCO"
"MA","MATA ROMA"
"CE","TIANGUA"
"RS","PEJUCARA"
"MA","BACABAL"
"RN","CEARA-MIRIM"
"MA","CURURUPU"
"PI","ANTONIO ALMEIDA"
"SP","NOVA CASTILHO"
"CE","BREJO SANTO"
"SP","PIRAJUI"
"PB","LUCENA"
"RS","MARAU"
"PB","VIEIROPOLIS"
"MT","RESERVA DO CABACAL"
"PE","AFRANIO"
"MG","CARMO DO CAJURU"
"SP","PEREIRAS"
"PA","ALMEIRIM"
"RN","RAFAEL GODEIRO"
"PB","PUXINANA"
"RJ","APERIBE"
"MG","RAUL SOARES"
"PB","NOVA PALMEIRA"
"AP","VITORIA DO JARI"
"CE","GUAIUBA"
"TO","ARAPOEMA"
"RS","RIO PARDO"
"BA","MUTUIPE"
"BA","SAO GONCALO DOS CAMPOS"
"PE","FERREIROS"
"BA","IPIRA"
"SP","ITUVERAVA"
"SP","SANTANA DE PARNAIBA"
"CE","ALCANTARAS"
"PR","JANIOPOLIS"
"ES","VITORIA"
"MG","SANTANA DO JACARE"
"GO","RIALMA"
"AM","SANTO ANTONIO DO ICA"
"PR","ADRIANOPOLIS"
"SP","JABORANDI"
"PR","VERA CRUZ DO OESTE"
"MG","BICAS"
"PE","SALGADINHO"
"SC","BRUNOPOLIS"
"MG","PEDRA AZUL"
"RS","VERA CRUZ"
"MG","PLANURA"
"GO","JOVIANIA"
"PR","PARAISO DO NORTE"
"MG","JENIPAPO DE MINAS"
"MG","SOBRALIA"
"SP","GUAIMBE"
"SP","ORINDIUVA"
"ES","ALEGRE"
"GO","AVELINOPOLIS"
"TO","LAGOA DA CONFUSAO"
"PR","MORRETES"
"SP","AGUAS DE SANTA BARBARA"
"SP","LARANJAL PAULISTA"
"PR","RANCHO ALEGRE"
"RN","NOVA CRUZ"
"MA","POCAO DE PEDRAS"
"RO","MONTE NEGRO"
"MG","CONCEICAO DO RIO VERDE"
"RS","CANUDOS DO VALE"
"MA","BACABEIRA"
"SP","PEDRO DE TOLEDO"
"MG","CENTRAL DE MINAS"
"SC","ARVOREDO"
"MS","DOURADOS"
"RN","TABOLEIRO GRANDE"
"ES","MUCURICI"
"SC","MELEIRO"
"MA","SAO DOMINGOS DO AZEITAO"
"SC","NOVA TRENTO"
"MG","VARJAO DE MINAS"
"SP","PRAIA GRANDE"
"MT","SORRISO"
"RS","POUSO NOVO"
"PB","PEDRA LAVRADA"
"TO","SAO VALERIO DA NATIVIDADE"
"MA","ITAPECURU MIRIM"
"SP","URUPES"
"SP","QUELUZ"
"RS","IBARAMA"
"PI","AMARANTE"
"GO","OUVIDOR"
"MT","MARCELANDIA"
"SC","LINDOIA DO SUL"
"SE","NOSSA SENHORA DO SOCORRO"
"MG","JURAMENTO"
"MG","FORTALEZA DE MINAS"
"RS","SAO DOMINGOS DO SUL"
"ES","SANTA TERESA"
"MG","PONTO DOS VOLANTES"
"MG","ARICANDUVA"
"PI","FRANCISCO AYRES"
"MT","CACERES"
"SP","CARAPICUIBA"
"BA","JACOBINA"
"RS","CAPIVARI DO SUL"
"SP","ZACARIAS"
"PE","SAO BENTO DO UNA"
"MG","CARRANCAS"
"MG","CLARAVAL"
"PR","RIO BRANCO DO SUL"
"SC","SCHROEDER"
"SC","ERVAL VELHO"
"SC","SAO BENTO DO SUL"
"RO","GUAJARA-MIRIM"
"MA","RAPOSA"
"MS","AQUIDAUANA"
"AL","CACIMBINHAS"
"GO","PILAR DE GOIAS"
"SP","SAO JOSE DA BELA VISTA"
"PB","SAO DOMINGOS DO CARIRI"
"MG","NOVA ERA"
"MG","FRUTAL"
"MA","PALMEIRANDIA"
"GO","VILA PROPICIO"
"MT","SANTA RITA DO TRIVELATO"
"MG","LUISLANDIA"
"MG","GUIRICEMA"
"PA","MAE DO RIO"
"PB","BARAUNA"
"SC","ORLEANS"
"RS","CANDELARIA"
"MT","PONTAL DO ARAGUAIA"
"RS","JAGUARI"
"RS","ERNESTINA"
"PR","SANTO ANTONIO DO SUDOESTE"
"RS","PANAMBI"
"MG","SAO GOTARDO"
"MG","SARZEDO"
"BA","PARIPIRANGA"
"MG","ALFREDO VASCONCELOS"
"PE","TAMANDARE"
"SP","PAULISTANIA"
"PE","BELEM DE SAO FRANCISCO"
"BA","CAPIM GROSSO"
"PR","SANTO ANTONIO DA PLATINA"
"MS","BANDEIRANTES"
"MG","NOVA RESENDE"
"PR","CIANORTE"
"RS","VESPASIANO CORREA"
"MT","MATUPA"
"MG","PRUDENTE DE MORAIS"
"PR","PINHAIS"
"SC","ABELARDO LUZ"
"PB","QUIXABA"
"PA","FLORESTA DO ARAGUAIA"
"SE","ITABAIANINHA"
"PA","JACAREACANGA"
"PI","AROEIRAS DO ITAIM"
"TO","PALMEIRANTE"
"BA","TAPEROA"
"PB","RIACHAO DO POCO"
"AM","BOCA DO ACRE"
"PR","PATO BRAGADO"
"AM","CARAUARI"
"MG","MARIO CAMPOS"
"PR","SAO JORGE DO PATROCINIO"
"RS","LAJEADO"
"RN","EQUADOR"
"SP","CRUZEIRO"
"PR","CLEVELANDIA"
"RS","ANTA GORDA"
"MG","BORDA DA MATA"
"MT","VERA"
"TO","ARAGOMINAS"
"RS","PINHEIRO MACHADO"
"PE","SANTA FILOMENA"
"GO","ITAGUARU"
"MG","JOSE RAYDAN"
"AL","DOIS RIACHOS"
"GO","ITAPURANGA"
"MG","MATA VERDE"
"BA","CONDE"
"SP","BORBOREMA"
"BA","MIRANGABA"
"ES","ATILIO VIVACQUA"
"TO","SAO MIGUEL DO TOCANTINS"
"SE","TOMAR DO GERU"
"RS","ELDORADO DO SUL"
"MS","ELDORADO"
"MG","SERITINGA"
"MS","CAMAPUA"
"MA","SAO LUIS GONZAGA DO MARANHAO"
"PB","SAO JOSE DOS CORDEIROS"
"MG","MIRADOURO"
"RS","NOVA ESPERANCA DO SUL"
"SP","ARARAQUARA"
"PR","BRAGANEY"
"SE","GENERAL MAYNARD"
"MT","JURUENA"
"MT","CASTANHEIRA"
"BA","IGAPORA"
"PE","CAPOEIRAS"
"MS","NOVO HORIZONTE DO SUL"
"CE","VICOSA DO CEARA"
"PR","TAPIRA"
"MG","ITAU DE MINAS"
"BA","BIRITINGA"
"SC","FORQUILHINHA"
"SC","SANTIAGO DO SUL"
"AM","PAUINI"
"TO","NOVO ACORDO"
"AP","MAZAGAO"
"PR","SAO PEDRO DO PARANA"
"PR","VITORINO"
"SE","SIRIRI"
"SP","MARABA PAULISTA"
"CE","PINDORETAMA"
"AC","EPITACIOLANDIA"
"PI","SANTA CRUZ DOS MILAGRES"
"RS","MONTENEGRO"
"SP","BOA ESPERANCA DO SUL"
"BA","OURICANGAS"
"PR","ARARUNA"
"BA","CATOLANDIA"
"SP","PORTO FELIZ"
"RS","NOVA BASSANO"
"PB","GURINHEM"
"MT","NOVA OLIMPIA"
"RS","BOM PRINCIPIO"
"MG","VARGINHA"
"SC","URUBICI"
"SP","DESCALVADO"
"MA","AMAPA DO MARANHAO"
"MT","ARAPUTANGA"
"TO","MURICILANDIA"
"PE","SANTA MARIA DO CAMBUCA"
"MT","NOVA NAZARE"
"MG","ITAMBE DO MATO DENTRO"
"PB","SAO JOSE DE PRINCESA"
"BA","NAZARE"
"MG","RIO PARDO DE MINAS"
"RJ","CASIMIRO DE ABREU"
"PA","CUMARU DO NORTE"
"PR","SAO CARLOS DO IVAI"
"TO","LAJEADO"
"SP","CASSIA DOS COQUEIROS"
"PB","POCO DANTAS"
"MG","LUMINARIAS"
"BA","IBIPEBA"
"MG","MEDEIROS"
"PR","ANDIRA"
"RS","COXILHA"
"SC","MODELO"
"SC","PENHA"
"PR","PINHALAO"
"MT","GENERAL CARNEIRO"
"PI","TAMBORIL DO PIAUI"
"MG","SAO ROQUE DE MINAS"
"MG","SAO PEDRO DA UNIAO"
"MG","BIAS FORTES"
"SP","BOREBI"
"RN","RIACHO DE SANTANA"
"MG","MIRAI"
"SC","SOMBRIO"
"RN","PARNAMIRIM"
"AL","MONTEIROPOLIS"
"MG","ONCA DE PITANGUI"
"SP","LUIS ANTONIO"
"SP","ANHEMBI"
"GO","MATRINCHA"
"PI","BELA VISTA DO PIAUI"
"SP","SUD MENNUCCI"
"RS","VACARIA"
"PI","SANTO INACIO DO PIAUI"
"TO","PALMAS"
"GO","ALEXANIA"
"GO","IPAMERI"
"SP","CANAS"
"RS","CANELA"
"PE","INGAZEIRA"
"SP","BILAC"
"MG","SAO JOSE DO GOIABAL"
"MG","MANHUACU"
"PR","PLANALTINA DO PARANA"
"BA","PEDRAO"
"RS","PORTO LUCENA"
"AL","MARAGOGI"
"MG","EWBANK DA CAMARA"
"RS","CAIBATE"
"MG","TURMALINA"
